Source,Target,inflow,weight
CAM,10,345,0.0345
CAR,10,311,0.0311
EUR,10,455,0.0455
ISL,10,13,0.0013
NAM,10,70,0.007
OCE,10,17,0.0017
SAM,10,327,0.0327
1,11,310,0.031
10,11,300,0.03
12,11,1883,0.1883
13,11,1159,0.1159
15,11,155,0.0155
16,11,144,0.0144
17,11,1700,0.17
18,11,569,0.0569
19,11,88,0.0088
2,11,182,0.0182
20,11,35,0.0035
21,11,219,0.0219
22,11,529,0.0529
23,11,145,0.0145
24,11,12287,1.2287
25,11,2051,0.2051
26,11,714,0.0714
27,11,332,0.0332
28,11,139,0.0139
29,11,341,0.0341
30,11,24,0.0024
31,11,230,0.023
32,11,210,0.021
33,11,82,0.0082
34,11,1994,0.1994
35,11,182,0.0182
36,11,4339,0.4339
37,11,1570,0.157
38,11,28,0.0028
39,11,665,0.0665
4,11,326,0.0326
40,11,99,0.0099
41,11,134,0.0134
42,11,2113,0.2113
44,11,440,0.044
45,11,576,0.0576
46,11,23,0.0023
47,11,655,0.0655
48,11,1850,0.185
49,11,277,0.0277
5,11,86,0.0086
50,11,80,0.008
51,11,8623,0.8623
53,11,388,0.0388
54,11,338,0.0338
55,11,234,0.0234
56,11,41,0.0041
6,11,3862,0.3862
72,11,182,0.0182
8,11,609,0.0609
9,11,1362,0.1362
AFR,11,1309,0.1309
ASI,11,3017,0.3017
CAM,11,665,0.0665
CAR,11,298,0.0298
EUR,11,3700,0.37
ISL,11,77,0.0077
NAM,11,278,0.0278
OCE,11,311,0.0311
SAM,11,963,0.0963
1,12,11524,1.1524
10,12,2317,0.2317
11,12,1416,0.1416
13,12,39554,3.9554
15,12,1696,0.1696
16,12,1164,0.1164
17,12,24113,2.4113
18,12,12872,1.2872
19,12,4280,0.428
2,12,4713,0.4713
20,12,3016,0.3016
21,12,8601,0.8601
22,12,5772,0.5772
23,12,3613,0.3613
24,12,16286,1.6286
25,12,17846,1.7846
26,12,21659,2.1659
27,12,6112,0.6112
28,12,5530,0.553
29,12,9640,0.964
30,12,684,0.0684
31,12,1666,0.1666
32,12,4786,0.4786
33,12,5001,0.5001
34,12,29776,2.9776
35,12,2733,0.2733
36,12,61767,6.1767
37,12,26137,2.6137
38,12,733,0.0733
39,12,25644,2.5644
4,12,7826,0.7826
40,12,4154,0.4154
41,12,2029,0.2029
42,12,29855,2.9855
44,12,3366,0.3366
45,12,12647,1.2647
46,12,813,0.0813
47,12,15082,1.5082
48,12,28428,2.8428
49,12,3309,0.3309
5,12,3453,0.3453
50,12,1972,0.1972
51,12,24883,2.4883
53,12,5503,0.5503
54,12,3166,0.3166
55,12,8441,0.8441
56,12,440,0.044
6,12,26323,2.6323
72,12,25986,2.5986
8,12,9250,0.925
9,12,12672,1.2672
AFR,12,4164,0.4164
ASI,12,28769,2.8769
CAM,12,17760,1.776
CAR,12,45529,4.5529
EUR,12,23952,2.3952
ISL,12,2405,0.2405
NAM,12,20293,2.0293
OCE,12,1534,0.1534
SAM,12,41503,4.1503
1,13,17131,1.7131
10,13,1139,0.1139
11,13,1031,0.1031
12,13,43536,4.3536
15,13,1317,0.1317
16,13,752,0.0752
17,13,8686,0.8686
18,13,3522,0.3522
19,13,1468,0.1468
2,13,1993,0.1993
20,13,3262,0.3262
21,13,3734,0.3734
22,13,5035,0.5035
23,13,567,0.0567
24,13,4891,0.4891
25,13,3521,0.3521
26,13,6563,0.6563
27,13,2039,0.2039
