a_state_code,a_state_name,b_state_code,b_state_name,inflow,outflow,net_migration
9,Connecticut,50,Vermont,604,1145,-541
9,Connecticut,51,Virginia,2514,3742,-1228
9,Connecticut,53,Washington,704,1127,-423
9,Connecticut,54,West Virginia,90,352,-262
9,Connecticut,55,Wisconsin,275,432,-157
9,Connecticut,56,Wyoming,75,87,-12
9,Connecticut,6,California,3813,5159,-1346
9,Connecticut,72,Puerto Rico,3338,773,2565
9,Connecticut,8,Colorado,670,1652,-982
9,Connecticut,AFR,Africa,958,0,0
9,Connecticut,ASI,Asia,9473,0,0
9,Connecticut,CAM,Central America,1075,0,0
9,Connecticut,CAR,Caribbean,1884,0,0
9,Connecticut,EUR,Europe,4112,0,0
9,Connecticut,ISL,U.S. Island Areas,189,0,0
9,Connecticut,NAM,Northern America,814,0,0
9,Connecticut,OCE,Oceania and At Sea,171,0,0
9,Connecticut,SAM,South America,3290,0,0
10,Delaware,1,Alabama,148,48,100
10,Delaware,11,District of Columbia,276,300,-24
10,Delaware,12,Florida,1057,2317,-1260
10,Delaware,13,Georgia,744,1139,-395
10,Delaware,15,Hawaii,47,28,19
10,Delaware,16,Idaho,6,27,-21
10,Delaware,17,Illinois,492,169,323
10,Delaware,18,Indiana,52,126,-74
10,Delaware,19,Iowa,16,129,-113
10,Delaware,2,Alaska,232,35,197
10,Delaware,20,Kansas,30,48,-18
10,Delaware,21,Kentucky,87,159,-72
10,Delaware,22,Louisiana,58,101,-43
10,Delaware,23,Maine,165,89,76
10,Delaware,24,Maryland,7600,5268,2332
10,Delaware,25,Massachusetts,568,508,60
10,Delaware,26,Michigan,162,130,32
10,Delaware,27,Minnesota,193,112,81
10,Delaware,28,Mississippi,76,64,12
10,Delaware,29,Missouri,240,140,100
10,Delaware,30,Montana,29,0,29
10,Delaware,31,Nebraska,40,20,20
10,Delaware,32,Nevada,13,160,-147
10,Delaware,33,New Hampshire,109,42,67
10,Delaware,34,New Jersey,4492,1600,2892
10,Delaware,35,New Mexico,169,104,65
10,Delaware,36,New York,3328,1254,2074
10,Delaware,37,North Carolina,936,1235,-299
10,Delaware,38,North Dakota,113,26,87
10,Delaware,39,Ohio,184,398,-214
10,Delaware,4,Arizona,141,613,-472
10,Delaware,40,Oklahoma,142,171,-29
10,Delaware,41,Oregon,58,174,-116
10,Delaware,42,Pennsylvania,10479,6830,3649
10,Delaware,44,Rhode Island,7,82,-75
10,Delaware,45,South Carolina,409,351,58
10,Delaware,46,South Dakota,6,0,6
10,Delaware,47,Tennessee,220,385,-165
10,Delaware,48,Texas,700,1219,-519
10,Delaware,49,Utah,14,92,-78
10,Delaware,5,Arkansas,0,5,-5
10,Delaware,50,Vermont,52,31,21
10,Delaware,51,Virginia,1194,1283,-89
10,Delaware,53,Washington,207,393,-186
10,Delaware,54,West Virginia,179,198,-19
10,Delaware,55,Wisconsin,100,122,-22
10,Delaware,56,Wyoming,0,37,-37
10,Delaware,6,California,633,853,-220
10,Delaware,72,Puerto Rico,193,116,77
10,Delaware,8,Colorado,114,279,-165
10,Delaware,9,Connecticut,649,411,238
10,Delaware,AFR,Africa,353,0,0
10,Delaware,ASI,Asia,2765,0,0
10,Delaware,CAM,Central America,345,0,0
10,Delaware,CAR,Caribbean,311,0,0
10,Delaware,EUR,Europe,455,0,0
10,Delaware,ISL,U.S. Island Areas,13,0,0
10,Delaware,NAM,Northern America,70,0,0
10,Delaware,OCE,Oceania and At Sea,17,0,0
10,Delaware,SAM,South America,327,0,0
11,District of Columbia,1,Alabama,310,212,98
11,District of Columbia,10,Delaware,300,276,24
11,District of Columbia,12,Florida,1883,1416,467
11,District of Columbia,13,Georgia,1159,1031,128
11,District of Columbia,15,Hawaii,155,404,-249
11,District of Columbia,16,Idaho,144,18,126
11,District of Columbia,17,Illinois,1700,1089,611
11,District of Columbia,18,Indiana,569,403,166
11,District of Columbia,19,Iowa,88,49,39
11,District of Columbia,2,Alaska,182,0,182
11,District of Columbia,20,Kansas,35,36,-1
11,District of Columbia,21,Kentucky,219,197,22
11,District of Columbia,22,Louisiana,529,214,315
11,District of Columbia,23,Maine,145,114,31
11,District of Columbia,24,Maryland,12287,19984,-7697
11,District of Columbia,25,Massachusetts,2051,1351,700
11,District of Columbia,26,Michigan,714,565,149
11,District of Columbia,27,Minnesota,332,247,85
11,District of Columbia,28,Mississippi,139,25,114
11,District of Columbia,29,Missouri,341,455,-114
11,District of Columbia,30,Montana,24,15,9
11,District of Columbia,31,Nebraska,230,32,198
11,District of Columbia,32,Nevada,210,212,-2
11,District of Columbia,33,New Hampshire,82,149,-67
11,District of Columbia,34,New Jersey,1994,875,1119
11,District of Columbia,35,New Mexico,182,82,100
11,District of Columbia,36,New York,4339,3870,469
11,District of Columbia,37,North Carolina,1570,2125,-555
11,District of Columbia,38,North Dakota,28,29,-1
11,District of Columbia,39,Ohio,665,885,-220
11,District of Columbia,4,Arizona,326,257,69
11,District of Columbia,40,Oklahoma,99,221,-122
11,District of Columbia,41,Oregon,134,398,-264
11,District of Columbia,42,Pennsylvania,2113,1897,216
11,District of Columbia,44,Rhode Island,440,26,414
11,District of Columbia,45,South Carolina,576,630,-54
11,District of Columbia,46,South Dakota,23,5,18
11,District of Columbia,47,Tennessee,655,574,81
11,District of Columbia,48,Texas,1850,1425,425
11,District of Columbia,49,Utah,277,312,-35
11,District of Columbia,5,Arkansas,86,156,-70
11,District of Columbia,50,Vermont,80,156,-76
11,District of Columbia,51,Virginia,8623,10617,-1994
11,District of Columbia,53,Washington,388,628,-240
11,District of Columbia,54,West Virginia,338,581,-243
11,District of Columbia,55,Wisconsin,234,260,-26
11,District of Columbia,56,Wyoming,41,6,35
11,District of Columbia,6,California,3862,5003,-1141
11,District of Columbia,72,Puerto Rico,182,25,157
11,District of Columbia,8,Colorado,609,978,-369
11,District of Columbia,9,Connecticut,1362,383,979
11,District of Columbia,AFR,Africa,1309,0,0
11,District of Columbia,ASI,Asia,3017,0,0
11,District of Columbia,CAM,Central America,665,0,0
11,District of Columbia,CAR,Caribbean,298,0,0
11,District of Columbia,EUR,Europe,3700,0,0
11,District of Columbia,ISL,U.S. Island Areas,77,0,0
11,District of Columbia,NAM,Northern America,278,0,0
11,District of Columbia,OCE,Oceania and At Sea,311,0,0
11,District of Columbia,SAM,South America,963,0,0
12,Florida,1,Alabama,11524,14362,-2838
12,Florida,10,Delaware,2317,1057,1260
12,Florida,11,District of Columbia,1416,1883,-467
12,Florida,13,Georgia,39554,43536,-3982
12,Florida,15,Hawaii,1696,2340,-644
12,Florida,16,Idaho,1164,906,258
12,Florida,17,Illinois,24113,12767,11346
12,Florida,18,Indiana,12872,8652,4220
12,Florida,19,Iowa,4280,3007,1273
12,Florida,2,Alaska,4713,1561,3152
12,Florida,20,Kansas,3016,3106,-90
12,Florida,21,Kentucky,8601,7536,1065
12,Florida,22,Louisiana,5772,5630,142
12,Florida,23,Maine,3613,2640,973
12,Florida,24,Maryland,16286,9416,6870
12,Florida,25,Massachusetts,17846,10697,7149
12,Florida,26,Michigan,21659,12753,8906
12,Florida,27,Minnesota,6112,3326,2786
12,Florida,28,Mississippi,5530,5135,395
12,Florida,29,Missouri,9640,6010,3630
12,Florida,30,Montana,684,815,-131
12,Florida,31,Nebraska,1666,2048,-382
12,Florida,32,Nevada,4786,5576,-790
12,Florida,33,New Hampshire,5001,2375,2626
12,Florida,34,New Jersey,29776,10444,19332
12,Florida,35,New Mexico,2733,1995,738
12,Florida,36,New York,61767,26274,35493
12,Florida,37,North Carolina,26137,28213,-2076
12,Florida,38,North Dakota,733,1010,-277
12,Florida,39,Ohio,25644,14972,10672
12,Florida,4,Arizona,7826,8315,-489
12,Florida,40,Oklahoma,4154,3728,426
12,Florida,41,Oregon,2029,2918,-889
12,Florida,42,Pennsylvania,29855,14759,15096
12,Florida,44,Rhode Island,3366,2702,664
12,Florida,45,South Carolina,12647,14265,-1618
12,Florida,46,South Dakota,813,443,370
12,Florida,47,Tennessee,15082,17497,-2415
12,Florida,48,Texas,28428,33704,-5276
12,Florida,49,Utah,3309,2428,881
12,Florida,5,Arkansas,3453,1903,1550
12,Florida,50,Vermont,1972,923,1049
12,Florida,51,Virginia,24883,21002,3881
12,Florida,53,Washington,5503,8640,-3137
12,Florida,54,West Virginia,3166,2596,570
12,Florida,55,Wisconsin,8441,4305,4136
12,Florida,56,Wyoming,440,604,-164
12,Florida,6,California,26323,25058,1265
12,Florida,72,Puerto Rico,25986,4490,21496
12,Florida,8,Colorado,9250,11048,-1798
12,Florida,9,Connecticut,12672,6060,6612
12,Florida,AFR,Africa,4164,0,0
12,Florida,ASI,Asia,28769,0,0
12,Florida,CAM,Central America,17760,0,0
12,Florida,CAR,Caribbean,45529,0,0
12,Florida,EUR,Europe,23952,0,0
12,Florida,ISL,U.S. Island Areas,2405,0,0
12,Florida,NAM,Northern America,20293,0,0
12,Florida,OCE,Oceania and At Sea,1534,0,0
